Task_id,Task,Activity Level,Formula,Emission Factor (invisible by experts)
1,Calculate the annual CO emissions from a coal-fired thermal power plant with pulverized coal boiler,"Annual coal consumption: 500,000 tons",E = A × EF,2 g/kg fuel
2,Calculate the annual NOx emissions from a natural gas-fired boiler for power generation,Annual natural gas consumption: 8×10⁷ m³,E = A × EF,4.1 g/m³ fuel
3,Calculate the PM2.5 emissions from a cement clinker production line,Annual clinker production: 1.2 million tons,E = A × EF,2 g/kg product
4,Calculate the CO emissions from a diesel truck (China V standard) under annual mileage conditions,"Annual mileage: 80,000 km",E = A × EF,1.48 g/km
5,Calculate the PM₂.₅ emissions from open biomass burning (crop straw),"Burning amount: 15,000 tons",E = A × EF,5.67 g/kg fuel
6,Calculate the annual VOCs emissions from municipal solid waste landfill,"Annual landfilling amount: 300,000 tons",E = A × EF,0.23 g/kg waste
7,Calculate the BC emissions from a four-wheel agricultural vehicle (China I standard) under annual mileage conditions,"Annual mileage: 20,000 km",E = A × EF,0.09 g/km
8,Calculate the NOx emissions from a coal-fired industrial boiler,"Annual coal consumption: 200,000 tons",E = A × EF,5.47 g/kg fuel
9,Calculate the SO₂ emissions from a ceramic factory,Product output: 25 tons,E = A × EF,2.25 g/kg product
10,Calculate the NH₃ emissions from urea application in acidic agricultural soil at 35°C,Fertilizer application rate: equivalent to 427 kg N fertilizer,E = A × EF,5.5 kg/100 kg N
