model,type,challenge_type,AnswerRelevancy,AnswerRelevancy_CI,AnswerSimilarity,AnswerSimilarity_CI,Faithfulness,Faithfulness_CI,ContextRelevance,ContextRelevance_CI,ContextPrecision,ContextPrecision_CI,ContextRecall,ContextRecall_CI,Hallucination,Hallucination_CI,,
GPT-5.5,baseline,Conflicting Standards,0.3197,0.0471,0.7677,0.0132,0.4276,0.2273,,,,,,,0.1429,0.0333,,
GPT-5.5,baseline,Cross-domain Integration,0.75,0.0465,0.8393,0.0245,0.2367,0.126,,,,,,,0.8556,0.3400,,
GPT-5.5,baseline,Edge Cases,0.7062,0.0478,0.7969,0.007,0.285,0.0951,,,,,,,0.3817,0.3628,,
GPT-5.5,baseline,Incomplete Parameters / Metadata,0.7134,0.0491,0.802,0.0261,0.3118,0.1583,,,,,,,0.8683,0.3496,,
GPT-5.5,baseline,Region/Technology-Specific Constraints,0.6295,0.045,0.8422,0.0272,0.2179,0.2168,,,,,,,0.4789,0.1613,,
GPT-5.5,baseline,Regulatory Ambiguities,0.3523,0.061,0.7372,0.0194,0.3837,0.2768,,,,,,,0.3333,0.1673,,
GPT-5.5,rag,Conflicting Standards,0.7331,0.3699,0.8474,0.1336,0.4333,0.2689,0.4714,0.1748,1,0,0.987,0.0318,0.1609,0.3496,,
GPT-5.5,rag,Cross-domain Integration,0.7954,0.0464,0.8585,0.0292,0.4294,0.1208,0.7333,0.2142,1,0,1,0,0.5522,0.3954,,
GPT-5.5,rag,Edge Cases,0.7464,0.0362,0.8373,0.0475,0.3853,0.0963,0.7571,0.3496,1,0,0.9048,0.1504,0.3811,0.2498,,
GPT-5.5,rag,Incomplete Parameters / Metadata,0.7457,0.0365,0.8354,0.0366,0.4977,0.1285,0.8286,0.1748,1,0,0.9632,0.0484,0.1429,0.2713,,
GPT-5.5,rag,Region/Technology-Specific Constraints,0.7209,0.2592,0.8401,0.033,0.3148,0.1643,0.8643,0.2809,1,0,1,0,0.3574,0.2400,,
GPT-5.5,rag,Regulatory Ambiguities,0.7383,0.4066,0.8516,0.1863,0.5913,0.3616,0.65,0.2874,1,0,0.9615,0.0989,0.8257,0.5419,,
Gemini-3.5-Flash,baseline,Conflicting Standards,0.3267,0.2948,0.5927,0.0909,0.026,0.3865,,,,,,,0.7143,0.4513,,
Gemini-3.5-Flash,baseline,Cross-domain Integration,0.4019,0.3416,0.6243,0.0764,0.317,0.465,,,,,,,0.6667,0.5419,,
Gemini-3.5-Flash,baseline,Edge Cases,0.4275,0.2866,0.5926,0.073,0.119,0.3638,,,,,,,0.8571,0.3496,,
Gemini-3.5-Flash,baseline,Incomplete Parameters / Metadata,0.2978,0.2632,0.4898,0.071,0.1631,0.4161,,,,,,,0.7143,0.4513,,
Gemini-3.5-Flash,baseline,Region/Technology-Specific Constraints,0.4205,0.2754,0.5912,0.097,0.2929,0.4241,,,,,,,0.8571,0.3496,,
Gemini-3.5-Flash,baseline,Regulatory Ambiguities,0.3937,0.3303,0.5912,0.0686,0.0795,0.4284,,,,,,,0.8333,0.4284,,
Gemini-3.5-Flash,rag,Conflicting Standards,0.1845,0.2973,0.4829,0.1562,0.2381,0.0636,0.4,0,1,0,0.987,0.0318,0.7143,0.4513,,
Gemini-3.5-Flash,rag,Cross-domain Integration,0.738,0.1226,0.7593,0.124,0.2778,0.2879,0.65,0.4064,0.9369,0.1621,0.9167,0.2142,0.2931,0.0693,,
Gemini-3.5-Flash,rag,Edge Cases,0.752,0.051,0.8126,0.034,0.2143,0.134,0.7214,0.3459,1,0,0.8929,0.1819,0.3979,0.2982,,
Gemini-3.5-Flash,rag,Incomplete Parameters / Metadata,0.4992,0.3182,0.6669,0.1555,0.4286,0.161,0.8286,0.1748,0.9898,0.025,0.9476,0.0709,0.2857,0.4513,,
Gemini-3.5-Flash,rag,Region/Technology-Specific Constraints,0.6736,0.0762,0.7503,0.0932,0.4524,0.2478,0.9,0.267,0.9841,0.0388,0.9881,0.0291,0.1429,0.3496,,
Gemini-3.5-Flash,rag,Regulatory Ambiguities,0.1966,0.3285,0.503,0.1891,0.3333,0.1295,0.65,0.2874,1,0,0.9912,0.0225,0.6667,0.5419,,
Claude-4.6-Sonnet,baseline,Conflicting Standards,0.6104,0.0611,0.8247,0.0477,0.1551,0.1617,,,,,,,0.6961,0.0965,,
Claude-4.6-Sonnet,baseline,Cross-domain Integration,0.761,0.0786,0.8441,0.0274,0.2394,0.0939,,,,,,,0.1198,0.3097,,
Claude-4.6-Sonnet,baseline,Edge Cases,0.7411,0.0794,0.7936,0.0315,0.0743,0.1377,,,,,,,0.3147,0.3496,,
Claude-4.6-Sonnet,baseline,Incomplete Parameters / Metadata,0.7239,0.0474,0.7969,0.0392,0.0336,0.1997,,,,,,,0.9386,0.3752,,
Claude-4.6-Sonnet,baseline,Region/Technology-Specific Constraints,0.7243,0.0514,0.8192,0.0436,0.1336,0.1445,,,,,,,0.5662,0.2634,,
Claude-4.6-Sonnet,baseline,Regulatory Ambiguities,0.6057,0.0505,0.8344,0.0726,0.13,0.0973,,,,,,,0.6325,0.4284,,
Claude-4.6-Sonnet,rag,Conflicting Standards,0.6932,0.2569,0.8255,0.0421,0.4173,0.1629,0.6143,0.2472,1,0,0.974,0.0636,0.7445,0.2393,,
Claude-4.6-Sonnet,rag,Cross-domain Integration,0.7696,0.0619,0.863,0.0266,0.2957,0.183,1.1083,0.3487,0.9789,0.0543,0.8495,0.1494,0.0820,0.1507,,
Claude-4.6-Sonnet,rag,Edge Cases,0.6979,0.0483,0.8343,0.0196,0.3529,0.0522,0.9357,0.3385,0.9929,0.0175,0.9524,0.1165,0.1429,0.0278,,
Claude-4.6-Sonnet,rag,Incomplete Parameters / Metadata,0.7058,0.0452,0.8411,0.0331,0.3003,0.048,0.7929,0.2622,0.9524,0.1165,0.9825,0.0277,0.2829,0.2990,,
Claude-4.6-Sonnet,rag,Region/Technology-Specific Constraints,0.7325,0.0518,0.85,0.0235,0.2827,0.1251,0.7929,0.3231,1,0,0.9881,0.0291,0.4982,0.3974,,
Claude-4.6-Sonnet,rag,Regulatory Ambiguities,0.7618,0.3129,0.8583,0.0168,0.3789,0.1958,0.5667,0.2142,1,0,0.9825,0.0451,0.1667,0.3747,,
DeepSeek-V4-Pro,baseline,Conflicting Standards,0.1084,0.0399,0.4584,0.0202,0.0256,0.193,,,,,,,0.8571,0.3496,,
DeepSeek-V4-Pro,baseline,Cross-domain Integration,0.7861,0.0718,0.8667,0.0521,0.1669,0.1206,,,,,,,0.3085,0.1646,,
DeepSeek-V4-Pro,baseline,Edge Cases,0.6511,0.0665,0.7745,0.0274,0.0906,0.0974,,,,,,,0.2857,0.1019,,
