expert_id,question_id,model (invisible for experts),question,answer,Relevance,Accuracy,Specification,Citation ,Overall 
1,1,DeepSeek-V4-Pro_baseline,Which control measures were identified as the most effective in reducing TE emissions in China?,"The most effective control measures for reducing trace element (TE) emissions in China are those targeting combustion sources and industrial restructuring.

*   **""Coal to gas"" strategies and industrial structure optimization** have led to significant reductions in concentrations of elements like Ga, Co, Pb, Zn, and As, with decreases of 72%, 67%, 62%, 59%, and 54%, respectively, attributed to these actions .
*   **Regulations on coal and oil combustion** were found to be the most effective for reducing trace element concentrations during the 2014 APEC summit, achieving a 63.1% reduction at an urban site in Beijing .
*   **Traffic emission controls** were also effective, particularly in urban areas, achieving a 52.8% reduction in trace elements during the same event . However, the effectiveness of controls on ferrous metal smelting and vehicle emissions has been less pronounced for some elements like Ca, Cr, and Fe .

Future efforts should prioritize further reductions in combustion-related emissions (e.g., As and Pb) due to their high marginal health benefits, alongside continued control of traffic-related emissions .

### References

[1] Measurement report: Rapid changes of chemical characteristics and health risks for highly time resolved trace elements in PM2.5 in a typical industrial city in response to stringent clean air actions. 2023
[3] Characteristics and Source Apportionment of Metallic Elements in PM2.5 at Urban and Suburban Sites in Beijing: Implication of Emission Reduction. 2019",2,1,4,3,3
1,1,DeepSeek-V4-Pro_Emission-GPT,Which control measures were identified as the most effective in reducing TE emissions in China?,"The most effective control measures for reducing trace element (TE) emissions in China are identified for both natural and anthropogenic sources. The key points are summarized below.

### Natural Source Control Measures
- **Controlling soil wind dust (SWD):** The reference indicates that managing SWD can play a significant role in lowering fugitive particulate matter and the associated TE releases from natural sources [1].  
- **Desertification control:** This measure is emphasized as particularly critical in the Northwest provinces of China, where most deserts are located [1].  
- **Afforestation and improved fire prevention:** Combined desertification control with afforestation increases terrestrial cover, reduces exposed land area, and thus cuts direct SWD emissions. Strengthening forest and grassland fire prevention mechanisms also helps reduce TE emissions from biomass open burning (BOB) [1].

### Anthropogenic Source Control Measures
- **Advanced air pollution control devices (APCDs):** Installing or retrofitting coal-fired boilers with higher application rates of advanced APCD configurations is identified as an accurate and effective way to lower emission levels from industrial manufacturing plants [1].  
- **Updating production technologies:** Improving production processes in industries such as iron and steel, non‑ferrous smelting, and cement plants is considered a direct and effective approach to restrict anthropogenic TE emissions [1].  
- **Stricter emission standards:** The reference notes that further restricting anthropogenic sources through updated standards is the most direct way to bring down TE emissions, implying that policy enforcement is a core measure [1].

These measures collectively address the two main source categories, with a strong emphasis on desertification control for natural dust emissions and advanced end-of-pipe technologies for industrial sectors.

### References
[1] A quantitative assessment of atmospheric emissions and spatial distribution of trace elements from natural sources in China. 2020.",4,3,4,4,4
1,1,GPT-5.5_baseline,Which control measures were identified as the most effective in reducing TE emissions in China?,"The most effective control measures for reducing **trace element (TE)** emissions in China are the installation and optimization of **air pollution control devices (APCDs)** at industrial sources, particularly coal-fired power plants and industrial boilers [1,2].

The major effective measures include:

1. **Fabric filters (Baghouses)**

   * Achieve very high removal efficiencies for particulate-bound trace elements such as Pb, Cd, Cr, and As.
   * Generally more effective than electrostatic precipitators for fine particulate removal [1].

2. **Electrostatic precipitators (ESPs)**

   * Remove particulate matter containing most metallic trace elements.
   * Performance depends on particle size and operating conditions [1].

3. **Flue Gas Desulfurization (FGD)**

   * Primarily designed for SO₂ removal but also captures soluble trace elements such as Hg²⁺, Se, and As.
   * Wet FGD systems generally outperform dry systems for co-benefit TE removal [2].

4. **Selective Catalytic Reduction (SCR)**

   * Mainly controls NOₓ emissions.
   * Promotes oxidation of elemental mercury (Hg⁰) to oxidized mercury (Hg²⁺), improving subsequent mercury capture by FGD [2].

5. **Integrated APCD systems (SCR + ESP/FF + FGD)**

   * Identified as the most effective overall strategy.
   * Simultaneously reduce multiple trace elements while controlling conventional air pollutants [1,2].

Overall, the combination of **SCR + particulate control (ESP or fabric filter) + wet FGD** has been identified as the most effective configuration for reducing trace element emissions from coal combustion in China.

### References

[1] Atmospheric Emission Inventory Guidebook. 2019.
[2] Technical Guidelines for Compilation of Atmospheric Pollutant Emission Inventories. 2021.",3,2,4,3,3
1,1,GPT-5.5_Emission-GPT,Which control measures were identified as the most effective in reducing TE emissions in China?,"## Most effective control measures for reducing TE emissions in China

The identified control measures for reducing trace element (TE) emissions in China fall into two main groups: controls on anthropogenic sources and controls on natural sources. [1]

### 1. Stricter control of anthropogenic emissions

Further restricting emissions from anthropogenic sources was identified as “the most direct and effective way” to reduce TE emissions in China. [1]

Key measures include:

- Setting stricter emission standards for primary anthropogenic sources. [1]
- Installing more advanced emission control configurations for primary anthropogenic sources. [1]
- Increasing the application rate of advanced air pollution control devices (APCDs) in newly built or retrofitted coal-fired boilers. [1]
- Updating production technologies to lower emission levels from industrial manufacturing plants, including iron and steel plants, non-ferrous smelting plants, and cement plants. [1]

### 2. Control measures for natural-source TE emissions

Although TE emissions from natural sources were described as lower than those from anthropogenic sources, they were also characterized as “not negligible.” [1]

For natural sources, desertification control was identified as an effective means for mitigating TE emissions. [1]

Additional measures identified for reducing natural-source TE emissions include:

- Afforestation combined with desertification control, which can increase terrestrial cover and reduce exposed land area. [1]
- Improving forest and grassland fire prevention mechanisms, which was identified as important for reducing emissions directly from relevant natural burning sources. [1]

### 3. Overall conclusion

In summary, the most effective TE-emission reduction approach identified for China is to prioritize stricter controls on anthropogenic sources, especially through stricter standards, advanced emission control configurations, advanced APCDs for coal-fired boilers, and cleaner production technologies in major industrial sectors. [1]

At the same time, desertification control, afforestation, and improved forest and grassland fire prevention are also important measures for reducing TE emissions from natural sources. [1]

### References

[1] A quantitative assessment of atmospheric emissions and spatial distribution of trace elements from natural sources in China.2020",5,4,4,5,5
1,1,Qwen-3.6-Flash_baseline,Which control measures were identified as the most effective in reducing TE emissions in China?,"The most effective control measures for reducing toxic/emission (TE) pollutants in China involve integrated end-of-pipe retrofits and process-level interventions. Baghouse fabric filters combined with activated carbon injection achieve >95% removal for heavy metals and dioxins, while selective catalytic reduction (SCR) lowers $\text{NO}_x$ to ultra-low levels [1]. Coal-to-gas/electricity switching in residential and small-industrial sectors, coupled with closed-loop material handling in cement and steel production, further reduces fugitive and combustion-derived TE loads [2]. Conflicting assessments exist regarding small-scale workshops, where stringent equipment mandates face economic viability challenges despite demonstrated technical effectiveness [3].

### References
[1] Integrated Pollution Control Technologies in Heavy Industry.2021
[2] Fuel Transition and Process Optimization in Manufacturing.2022
[3] Economic Feasibility of Small-Scale Emission Standards.2023",4,3,4,4,4
1,1,Qwen-3.6-Flash_Emission-GPT,Which control measures were identified as the most effective in reducing TE emissions in China?,"Based on the provided reference material, the most effective control measures for reducing trace element (TE) emissions in China are tailored to the specific origin of the emissions:

* **For Anthropogenic Sources:** Implementing stricter emission standards and installing more advanced emission control configurations on primary industrial and anthropogenic sources are identified as highly effective mitigation strategies [1].
* **For Natural Sources:** Deploying systematic desertification control measures is recognized as an effective approach to mitigate TE emissions originating from natural processes [1].

Collectively, combining enhanced industrial emission controls with ecological management measures like desertification control provides a comprehensive pathway for reducing the total national footprint of trace element emissions.

### References
[1] A quantitative assessment of atmospheric emissions and spatial distribution of trace elements from natural sources in China.2020.",5,4,5,5,5
1,2,DeepSeek-V4-Pro_baseline,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Calculating greenhouse gas (GHG) emissions from crop residue open burning (CROB) requires consideration of methodological choices, activity data, and emission factors.

*   **Methodology for spatial allocation:** The choice between using **fire counts (FC)** and **fire radiative power (FRP)** for grid allocation significantly impacts the accuracy of high-resolution emission inventories. The FRP-based method has advantages over the FC-based method for grid allocation .
*   **Activity data and parameters:** Key parameters include crop production statistics, the **open burning proportion (OBP)** of residues, burning efficiency, and the specific crops being burned (e.g., rice, wheat, corn) . The OBP is difficult to obtain and varies with policy and agricultural factors .
*   **Emission Factors:** Accurate, locally observed emission factors for GHGs (CO2, CH4, N2O) for different crop types are essential .
*   **Temporal and Spatial Distribution:** Emissions show typical seasonal and spatial variation, with the highest emissions often occurring in months like April, June, and October, and concentrated in regions like the East and South-Central China . Policies, climate, and farmers' perceptions influence these patterns .
*   **Policy Context:** The effectiveness of straw burning ban policies must be considered, as they have led to significant historical reductions in emissions .

### References

[4] Characteristics and reduction assessment of GHG emissions from crop residue open burning in China under the targets of carbon peak and carbon neutrality. 2023
[6] Estimating emissions from crop residue open burning in China based on statistics and MODIS fire products. 2016",4,3,4,3,4
1,2,DeepSeek-V4-Pro_Emission-GPT,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"In China, greenhouse gas (GHG) emissions from open burning of crop residues are estimated by multiplying the activity level (mass of residue burned) by appropriate emission factors. The calculation must account for several key factors.

### 1. Activity Level Determination  
The mass of crop residues burned in the field ($M$ or $A$) is the foundation of the inventory. Two equivalent approaches are recommended by the national technical guidelines:  

- **Production‑based formula**  
  $$M = P \times N \times R \times \eta$$  
  where  
  $P$ = annual crop production (t), obtained from local agricultural statistics [1][2];  
  $N$ = straw‑to‑grain ratio (the ratio of straw dry matter to crop yield), with default values provided for major crops (rice 1.323, wheat 1.718, corn 1.269, others 1.5) [1];  
  $R$ = proportion of crop residue openly burned, which varies significantly by region – the default value is 20% when site‑specific survey data are unavailable [1];  
  $\eta$ = burning efficiency, normally taken as 0.9 [1][2].

- **Area‑based formula**  
  $$A = AR \times B \times N \times \eta$$  
  where $AR$ is the open‑burning area (hm²) and $B$ is the crop yield per unit area (t/hm²) [1][2]. Satellite fire observations can be used to derive $AR$ and to locate fires spatially [1].

Key considerations for the activity level therefore include the **types of crops** (which determine $N$), the **locally representative open‑burning proportion $R$** (ideally obtained by survey), and a **valid burning efficiency** [1][2][3].

### 2. Emission Factors  
Once the activity level is known, GHG emissions are calculated by multiplying the burned mass by pollutant‑specific emission factors ($EF$). For greenhouse gases ($\mathrm{CH_4}$, $\mathrm{N_2O}$, $\mathrm{CO_2}$, etc.) the following must be considered:

- **Gas‑specific factors** – separate $EF$ values are required for each GHG [3].
- **Fuel properties** – the **fuel moisture content** significantly influences emission factors and should be taken into account [4].  
- **Local measurement data** – the national guidelines recommend emission factors derived from field measurements of typical residues (e.g., wheat straw and corn stalk burned in northern China) [3]; default $EF$ tables are provided in the technical documents [1][3].

### 3. Data Sources and Uncertainty  
- **Activity data** – crop production volumes are taken from official agricultural statistics [1][2]; straw‑to‑grain ratios and burning proportions can be refined through field surveys [1][3].  
- **Emission factors** – default values are based on domestic laboratory and field studies [3][4]; however, factors vary with crop type, combustion conditions, and moisture content, contributing to uncertainty [4].  
- **Spatial allocation** – when area‑based or satellite‑derived data are used, the inventory can be georeferenced, improving resolution and policy relevance [1].

In summary, a comprehensive calculation of GHG emissions from open crop residue burning in China requires careful selection of **crop‑specific straw‑to‑grain ratios**, **locally appropriate open‑burning proportions and burning efficiency**, and **emission factors that account for residue type and moisture content**, all underpinned by reliable statistical or survey data.

### References

[1] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）.2014  
[2] 大气污染物与温室气体融合排放清单编制技术指南（试行）.2024  
[3] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）编制说明.2014  
[4] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015",3,5,4,4,4
1,2,GPT-5.5_baseline,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"Greenhouse gas emissions from open burning of crop residues are typically estimated using the following equation:

[
E = P \times R \times D \times B \times EF
]

where:

* $P$ = crop production
* $R$ = residue-to-product ratio
* $D$ = dry matter fraction
* $B$ = proportion of residues openly burned
* $EF$ = emission factor for each greenhouse gas [1,2]

The key factors that must be considered include:

1. **Crop production**

   * Annual production of each crop type (e.g., rice, wheat, maize).

2. **Residue-to-product ratio**

   * Varies by crop species.

3. **Moisture or dry matter content**

   * Determines the actual combustible biomass.

4. **Open-burning ratio**

   * Fraction of residues burned in the field.
   * Varies considerably among provinces and years.

5. **Combustion efficiency**

   * Represents the fraction of biomass actually combusted.

6. **Greenhouse gas emission factors**

   * Separate emission factors are required for CO₂, CH₄, and N₂O.
   * Values depend on crop type and combustion conditions.

7. **Global Warming Potentials (GWPs)**

   * Needed when converting CH₄ and N₂O emissions into CO₂-equivalent emissions.

Regional differences in agricultural practices and residue management should also be considered whenever provincial or local inventories are developed [1,2].

### References

[1] 2006 IPCC Guidelines for National Greenhouse Gas Inventories. 2006.
[2] Guidelines for Provincial Greenhouse Gas Inventories in China. 2011.",4,5,4,4,4
1,2,GPT-5.5_Emission-GPT,What factors need to be considered when calculating greenhouse gas emissions from open burning of crop residues in China?,"## 1. Core calculation framework

For open burning of crop residues in China, emissions are commonly estimated by multiplying the mass of residues burned in the field by the corresponding gas-specific emission factor. [1]  

The activity level, i.e., the biomass consumed by open burning of crop residues, can be calculated as: [2]

$$
M=P\times N\times R\times \eta
$$

or, when burned area data are available: [2]

$$
M=AR\times B\times N\times \eta
$$

where $M$ is the biomass consumed by open burning, $P$ is crop production, $N$ is the straw-to-grain ratio, $R$ is the open-burning proportion of crop residues, $\eta$ is the burning rate or combustion efficiency, $AR$ is the open-burned area, and $B$ is crop yield per unit area. [2]

## 2. Key factors to consider

### 2.1 Crop production and crop type

Crop production is a primary input because the amount of crop residue is estimated from crop output. [2]  

Crop type must be distinguished because different crops have different straw-to-grain ratios. [2]  

The guideline gives average straw-to-grain ratios of 1.323 for rice, 1.718 for wheat, 1.269 for corn, and 1.5 for other major crops. [2]  

Chinese field-burning inventories commonly include residues from crops such as rice, wheat, corn, coarse cereals, cotton, legumes, peanut, and rapeseed. [3]

### 2.2 Straw-to-grain ratio or residue-to-crop ratio

The straw-to-grain ratio is used to convert crop production into the amount of crop residue available for burning. [2]  

In related inventory methods, this parameter is also described as the ratio between residue production and grain or crop product production. [4]  

Because residue generation differs by crop type, using crop-specific ratios is necessary for estimating burned biomass. [2]

### 2.3 Open-burning proportion of residues

The open-burning proportion $R$ is a key parameter because only the fraction of residues actually burned in the field contributes to open-burning emissions. [2]  

The open-burning proportion varies substantially by region, so the guideline recommends obtaining it through sampling surveys where possible. [2]  

If survey data are not available, the guideline allows use of an empirical default open-burning proportion of 20%. [2]  

A national questionnaire-based study obtained provincial percentages of crop residue open burning for China and reported an average open-burning proportion of about 20.8%. [5]

### 2.4 Burning rate or combustion efficiency

The burning rate or combustion efficiency determines how much of the residue biomass is actually consumed during burning. [2]  

The guideline recommends a burning rate value of 0.9 for crop residue open burning. [2]  

Combustion efficiency can be affected by burning mode, burning habits, and crop type. [4]

### 2.5 Burned area and crop yield per unit area

When crop production-based data are unavailable or when spatial allocation is needed, burned biomass can also be calculated from open-burned area, yield per unit area, straw-to-grain ratio, and burning rate. [2]  

Satellite fire-point data may be used to estimate the area of crop residue open burning and to locate open-burning events spatially. [2]

### 2.6 Emission factors for target greenhouse gases

Gas-specific emission factors are required to convert burned biomass into emissions. [1]  

Chinese open-burning tests cited by the guideline measured field burning of wheat straw and corn straw and analyzed gases including $\mathrm{CO_2}$, CO, $\mathrm{CH_4}$, NMHCs, $\mathrm{N_2O}$, NOx, $\mathrm{SO_2}$, $\mathrm{NH_3}$, and VOCs. [6]  

Because the available domestic tests for biomass open burning were limited, the recommended crop-residue open-burning emission factors in the guideline were mainly based on those field measurements. [6]  

Fuel moisture content should also be considered when estimating emission factors for biomass burning. [7]

### 2.7 Dry matter, carbon content, nitrogen content, and combustion efficiency

For greenhouse gas inventory calculations, especially for carbon- and nitrogen-containing gases, the amount of carbon or nitrogen released during residue burning depends on crop production, residue-to-crop ratio, fraction burned in situ, dry matter content, burning efficiency, carbon or nitrogen content of the residue, and combustion efficiency. [8]  

Additional parameters needed for estimating emissions from residue-burning areas include residue-to-crop ratios, dry matter fractions, carbon fractions, nitrogen fractions, and combustion efficiency. [9]

### 2.8 Emission ratios and molecular-weight conversion factors

For gases such as $\mathrm{CH_4}$, CO, $\mathrm{N_2O}$, and NOx, emissions can be estimated from the amount of elemental carbon or nitrogen released, using gas-specific emission ratios and molecular-weight conversion factors. [10]  

The referenced equation expresses emissions as: [10]

$$
E_g=R_i\times EF_g\times CF
$$

where $E_g$ is the emission of gas $g$, $R_i$ is the amount of carbon or nitrogen released, $EF_g$ is the gas-specific emission ratio, and $CF$ is the molecular-weight conversion factor. [10]

### 2.9 Spatial and temporal distribution

Spatial distribution should consider regional crop production, regional open-burning proportions, and, where available, satellite fire-point information. [2]  

Temporal distribution should consider the agricultural burning season because open burning of crop residues is strongly seasonal. [11]  

One study compiling a 1° × 1° inventory for China reported that the temporal distribution of crop-residue open-burning emissions followed the agricultural burning season, with the highest values in June. [7]

## 3. Practical checklist for calculation

A comprehensive calculation for greenhouse gas emissions from open burning of crop residues in China should therefore collect or select: [2]

1. Crop production by crop type, $P$. [2]  
2. Crop-specific straw-to-grain ratio, $N$. [2]  
3. Regional open-burning proportion, $R$, preferably from surveys. [2]  
4. Burning rate or combustion efficiency, $\eta$. [2]  
5. Burned area $AR$ and yield per unit area $B$ if using an area-based method. [2]  
6. Gas-specific emission factors for target greenhouse gases such as $\mathrm{CO_2}$, $\mathrm{CH_4}$, and $\mathrm{N_2O}$. [6]  
7. Dry matter content, carbon content, nitrogen content, and combustion efficiency when applying carbon- or nitrogen-release-based greenhouse gas methods. [8]  
8. Emission ratios and molecular-weight conversion factors when converting released carbon or nitrogen into specific gas emissions. [10]  
9. Spatial information such as provincial activity data or satellite fire-point data. [2]  
10. Temporal allocation information reflecting crop harvest and burning seasons. [7]

### References

[1] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015  

[2] 生物质燃烧源大气污染物排放清单编制技术指南（试行）（征求意见稿）.2014  

[3] A high-resolution emission inventory of crop burning in fields in China based on MODIS Thermal Anomalies/Fire products.2012  

[4] 区域高分辨率大气排放源清单建立的技术方法与应用_第四章-区域大气污染源排放定量表征方法.2016  

[5] 基于调查的中国秸秆露天焚烧污染物排放清单.2016  

[6] 《生物质燃烧源大气污染物排放清单编制技术指南（试行）》（征求意见稿）编制说明.2014  

[7] Emission characteristics of carbonaceous particles and trace gases from open burning of crop residues in China.2015  

[8] Inventory of U.S. Greenhouse Gas Emissions and Sinks 1990-1998.2000  

[9] Inventory of U.S. Greenhouse Gas Emissions and Sinks-- 1990-2022.2024  

[10] Inventory of U.S. Greenhouse Gas Emissions and Sinks-- 1990-2022.2024  

[11] 《城市大气重污染应急措施选择与实施效果评估技术指南（试行）》（征求意见稿）编制说明.2014",5,5,5,5,5
