model,type,AnswerRelevancy,AnswerRelevancy_CI,AnswerSimilarity,AnswerSimilarity_CI,Faithfulness,Faithfulness_CI,ContextRelevance,ContextRelevance_CI,ContextPrecision,ContextPrecision_CI,ContextRecall,ContextRecall_CI,Hallucination,Hallucination_CI,
GPT-5.5,baseline,0.7042,0.0154,0.7504,0.0199,0.5263,0.023,,,,,,,0.0456,0.0162,
GPT-5.5,rag,0.8176,0.0347,0.7619,0.0198,0.8697,0.0397,0.5427,0.0529,0.8932,0.0278,0.7677,0.048,0.0166,0.0265,
Gemini-3.5-Flash,baseline,0.4837,0.0434,0.622,0.0175,0.6269,0.047,,,,,,,0.4979,0.0636,
Gemini-3.5-Flash,rag,0.6704,0.0399,0.6909,0.0242,0.7497,0.0418,0.551,0.0533,0.8823,0.0301,0.7736,0.049,0.2125,0.0521,
Claude-4.6-Sonnet,baseline,0.7501,0.0142,0.7512,0.0208,0.51,0.0185,,,,,,,0.0664,0.0317,
Claude-4.6-Sonnet,rag,0.8054,0.0288,0.7624,0.0195,0.8033,0.0366,0.5871,0.0526,0.8913,0.0277,0.7777,0.0477,0.0249,0.0198,
DeepSeek-V4-Pro,baseline,0.728,0.019,0.7395,0.0169,0.5886,0.0283,,,,,,,0.1411,0.0308,
DeepSeek-V4-Pro,rag,0.7987,0.0387,0.7965,0.0235,0.7982,0.0429,0.5342,0.0533,0.8845,0.0294,0.7879,0.0471,0.0625,0.0443,
Qwen-3.6-Flash,baseline,0.7309,0.0171,0.7409,0.017,0.5501,0.0243,,,,,,,0.0788,0.0255,
Qwen-3.6-Flash,rag,0.8039,0.0376,0.7714,0.0225,0.9107,0.0356,0.7095,0.047,0.8411,0.033,0.7106,0.0518,0.0417,0.0343,
GLM-5.1,baseline,0.7789,0.0162,0.7562,0.0175,0.572,0.0276,,,,,,,0.0581,0.0255,
GLM-5.1,rag,0.8148,0.0325,0.778,0.0217,0.7793,0.0371,0.5415,0.0534,0.8932,0.028,0.7663,0.0483,0.0417,0.0297,
